instance_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,obtained_date,valence,music_genre
22744.0,SVDDEN DEATH,Last Life,34.0,0.00187,0.774,248571.0,0.944,0.191,A#,0.111,0.072,Minor,0.0782,140.063,4-Apr,0.369,Electronic
42466.0,Space Laces,Whiplash,33.0,0.00577,0.5670000000000001,182400.0,0.973,1.14e-05,F,0.0661,0.892,Minor,0.332,74.986,4-Apr,0.629,Electronic
78713.0,Herobust,WTF,50.0,0.00258,0.589,257600.0,0.982,0.0112,C,0.1889999999999999,0.598,Major,0.327,150.005,4-Apr,0.284,Electronic
31559.0,Subtronics,Wook Laser,34.0,0.0378,0.536,307200.0,0.991,0.0197,B,0.584,0.085,Minor,0.205,150.003,4-Apr,0.16,Electronic
83526.0,Lil Texas,Anthem X,24.0,0.0218,0.629,196800.0,0.986,0.13,E,0.425,0.423,Minor,0.151,100.012,4-Apr,0.0789,Electronic
29030.0,Herobust,WTF - Subtronics Remix,32.0,0.0463,0.627,249600.0,0.996,0.0419,C#,0.17,0.42,Major,0.373,74.98100000000001,4-Apr,0.217,Electronic
43592.0,SVDDEN DEATH,Gates Of Hell,35.0,0.00321,0.705,192000.0,0.975,0.000292,A#,0.268,0.2269999999999999,Minor,0.377,72.529,4-Apr,0.409,Electronic
89252.0,Subtronics,Liberator,21.0,0.00614,0.617,254897.0,0.957,0.00501,C,0.6509999999999999,0.045,Major,0.473,145.041,4-Apr,0.3929999999999999,Electronic
50650.0,SVDDEN DEATH,Break 'Em Down,35.0,0.00303,0.643,260571.0,0.927,0.00375,C#,0.0816,0.2289999999999999,Major,0.135,139.839,4-Apr,0.244,Electronic
36234.0,Borgore,Are You Sure Now?,50.0,0.0147,0.497,184552.0,0.99,0.0,E,0.326,0.594,Minor,0.374,145.045,4-Apr,0.165,Electronic
25755.0,empty_field,Tear It Down,37.0,0.0346,0.491,177633.0,0.993,4.58e-06,C#,0.105,0.4539999999999999,Major,0.47,149.80200000000002,4-Apr,0.535,Electronic
38333.0,Dillon Francis,Without You - Doctor P & Flux Pavilion Remix,28.0,0.00029,0.615,239357.0,0.992,0.055,C,0.317,1.314,Major,0.045,140.013,4-Apr,0.39,Electronic
86618.0,Justice,We Are Your Friends - Justice Vs. Simian,41.0,0.0102,0.6459999999999999,164960.0,0.977,0.769,A,0.201,1.585,Minor,0.1669999999999999,123.016,4-Apr,0.606,Electronic
52680.0,SVDDEN DEATH,Angel Style,43.0,0.023,0.625,244966.0,0.958,0.002,D,0.3289999999999999,0.034,Major,0.408,145.071,4-Apr,0.61,Electronic
32470.0,Lil Texas,Total Knock Out,29.0,0.00448,0.64,172800.0,0.999,0.11,F#,0.8220000000000001,0.0,Minor,0.151,99.986,4-Apr,0.173,Electronic
67401.0,SVDDEN DEATH,Rock Like This,27.0,0.0009449999999999,0.748,247286.0,0.965,0.0006309999999999,C#,0.307,0.203,Major,0.2239999999999999,140.00799999999998,4-Apr,0.372,Electronic
31531.0,Subtronics,Thermal Expansion,28.0,0.066,0.857,212276.0,0.978,0.0712,D,0.108,0.6809999999999999,Major,0.374,145.031,4-Apr,0.389,Electronic
83560.0,Dubloadz,Cuck Life,28.0,0.0159,0.682,313600.0,0.951,0.000993,C#,0.631,0.118,Major,0.25,150.064,4-Apr,0.5479999999999999,Electronic
34268.0,Subtronics,Fire Drill VIP,22.0,0.00476,0.643,219855.0,0.981,0.000665,B,0.297,0.899,Minor,0.373,140.08100000000002,4-Apr,0.336,Electronic
44551.0,TeddyLoid,Yumeno Ukiyoni Saitemina,18.0,0.0069299999999999,0.493,285707.0,0.967,0.0162,D,0.413,0.73,Major,0.1119999999999999,109.928,4-Apr,0.52,Anime
35443.0,"Fear, and Loathing in Las Vegas",Cast Your Shell,31.0,2.52e-05,0.45,187493.0,0.995,0.0,B,0.2739999999999999,0.188,Major,0.122,102.47,4-Apr,0.267,Anime
35139.0,TeddyLoid,Break 'Em All (Remix),9.0,0.0001629999999999,0.62,234545.0,0.99,0.000108,E,0.0894,0.18,Minor,0.0698,109.935,4-Apr,0.524,Anime
78954.0,"Fear, and Loathing in Las Vegas",Thunderclap,31.0,0.00014,0.254,219027.0,0.993,0.00826,F,0.275,0.342,Major,0.178,113.93299999999999,4-Apr,0.29,Anime
32191.0,TeddyLoid,Game Changers,11.0,0.0078,0.598,336107.0,0.978,2.52e-05,F,0.39,0.064,Minor,0.0752,128.002,4-Apr,0.466,Anime
73789.0,kradness,Buraikku Jikorizer,16.0,0.0418,0.7170000000000001,232693.0,0.947,0.0,F#,0.3429999999999999,0.455,Minor,0.201,149.966,4-Apr,0.7909999999999999,Anime
71529.0,TeddyLoid,Winners,28.0,0.135,0.574,220067.0,0.985,0.0,G,0.344,0.954,Minor,0.181,127.96799999999999,4-Apr,0.58,Anime
30130.0,kradness,Echo,14.0,0.177,0.687,230000.0,0.951,9.14e-05,D#,0.127,0.241,Minor,0.0645,140.055,4-Apr,0.222,Anime
32720.0,TeddyLoid,Neo Stargate,16.0,0.0252,0.436,447933.0,0.98,2.28e-05,D,0.23,0.584,Minor,0.259,159.909,4-Apr,0.281,Anime
54927.0,empty_field,Swing It!!,26.0,3.19e-05,0.297,218240.0,0.954,5.520000000000001e-05,F,0.4039999999999999,0.222,Minor,0.0798,94.43,4-Apr,0.4379999999999999,Anime
44053.0,Nayutalien,Moonlight Music,16.0,0.0481,0.486,188408.0,0.975,2.81e-05,D,0.312,0.076,Major,0.0512,157.059,4-Apr,0.715,Anime
40477.0,TeddyLoid,Daikirai,32.0,0.09,0.483,200400.0,0.995,0.000277,D,0.373,1.893,Major,0.297,149.97799999999998,4-Apr,0.3779999999999999,Anime
83794.0,"Fear, and Loathing in Las Vegas",Escape from the Loop,27.0,0.000886,0.287,228933.0,0.991,0.0,G#,0.349,0.031,Major,0.192,110.03,4-Apr,0.3929999999999999,Anime
74014.0,TeddyLoid,Daisuki - RELOADED,17.0,0.2319999999999999,0.601,192000.0,0.918,7.97e-05,A#,0.11,0.125,Major,0.0393,149.986,4-Apr,0.372,Anime
49344.0,TeddyLoid,I Don't Work - TeddyLoid Remix,13.0,0.292,0.544,261600.0,0.986,0.00303,F,0.294,0.674,Minor,0.238,150.06799999999998,4-Apr,0.7170000000000001,Anime
64489.0,Justice,We Are Your Friends - Justice Vs Simian,58.0,0.0104,0.615,262773.0,0.97,0.384,A,0.178,1.342,Minor,0.119,122.993,4-Apr,0.507,Alternative
87982.0,The Stooges,Raw Power - Iggy Pop Mix,35.0,0.0756,0.345,256067.0,0.998,1.76e-05,G#,0.108,1.275,Major,0.2289999999999999,154.85,4-Apr,0.28,Blues
33508.0,The Stooges,Your Pretty Face Is Going to Hell - Alternate 'Violent' Iggy Mix,32.0,0.0004669999999999,0.186,294467.0,0.997,0.0202,A,0.0644,3.744,Major,0.154,157.047,4-Apr,0.107,Blues
43909.0,Coachwhips,You Gonna Get It,26.0,0.00217,0.335,146227.0,0.979,0.897,F,0.0988,1.949,Major,0.0759,121.296,4-Apr,0.0376,Blues
85068.0,"Fear, and Loathing in Las Vegas",Let Me Hear,58.0,0.000145,0.175,225547.0,0.995,2.5e-06,F#,0.214,1.023,Minor,0.211,184.06599999999997,4-Apr,0.303,Rock
73087.0,Scarlxrd,Lies Yxu Tell,52.0,0.0216,0.556,140643.0,0.992,0.0,C,0.4529999999999999,1.012,Major,0.357,139.974,4-Apr,0.544,Hip-Hop
